libnumbertext 1.0.5-1
liboauth 1.0.3+14+g186fb14-1
libodfgen 0.1.7-1
libofa 0.9.3-8
libogg 1.3.4-2
libomxil-bellagio 0.9.3-2
liborcus 0.15.4-1
libp11-kit 0.23.20-5
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.9.1-2
libpciaccess 0.16-1
libpeas 1.26.0-1
libpgm 5.2.122-5
libpipeline 1.5.2-1
libplacebo 1.29.1-3
libplist 2.1.0-2
libpng 1.6.37-1
libpng12 1.2.59-1
libproxy 0.4.15+33+g454a499-1
libpsl 0.21.0-2
libpulse 13.0-3
libpwquality 1.4.2-2
libqalculate 3.10.0-1
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libqxp 0.0.2-4
libraqm 0.7.0-1
libraw 0.19.5-2
libraw1394 2.1.2-2
libreoffice-fresh 6.4.3-3
libreoffice-fresh-pt-br 6.4.3-1
librevenge 0.0.4-2
librsvg 2:2.48.4-1
librtmp0 2.4-5
libsamplerate 0.1.9-3
libsasl 2.1.27-3
libsass 3.6.1-1
libseccomp 2.4.2-1
libsecret 0.20.3-1
libshout 1:2.4.3-2
libsidplayfp 2.0.2-1
libsigc++ 2.10.3-1
libsixel v1.8.6-2
libsm 1.2.3-2
libsndfile 1.0.28-3
libsodium 1.0.18-1
libsoup 2.70.0-1
libsoxr 0.1.3-2
libspectre 0.2.9-1
libspiro 1:20200505-1
libsrtp 1:2.3.0-1
libssh 0.9.4-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libstemmer 0+713-1
libsynctex 2019.51075-10
libtar 1.2.20-5
libtasn1 4.16.0-1
libteam 1.30-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtiff4 3.9.7-4
libtiger 0.3.4-5
libtirpc 1.2.6-1
libtommath 1.2.0-1
libtool 2.4.6+42+gb88cebd5-13
libtorrent-rasterbar 1:1.2.6-1
libudev0-shim 1-3
libuninameslist 20200413-1
libunistring 0.9.10-2
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.23-2
libusb-compat 0.1.7-1
libusbmuxd 2.0.1-1
libutempter 1.1.6-3
libutil-linux 2.35.1-2
libuv 1.37.0-1
libva 2.7.1-1
libva-mesa-driver 20.0.7-2
libvdpau 1.4-1
libvisio 0.1.7-3
libvisual 0.4.0-8
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.2-1
libvpx1.3 1.3.0-2
libwacom 1.3-1
libwebp 1.1.0-1
libwmf 0.2.12-1
libwnck3 3.36.0-1
libwpd 0.10.3-1
libwpe 1.6.0-1
libwpg 0.3.3-1
libwps 0.4.11-1
libwrap 7.6.28-1
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.14-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdg-basedir 1.2.0-5
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfce4ui-devel 4.15.2-1
libxfce4util 4.14.0-1
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxklavier 5.4-3
libxml2 2.9.10-2
libxmu 1.1.3-1
libxnvctrl 440.82-1
libxpm 3.5.13-1
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxres 1.2.0-2
libxshmfence 1.3-2
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxvmc 1.0.12-2
libxxf86vm 1.1.4-3
libyaml 0.2.4-1
libzmf 0.0.2-8
licenses 20200427-1
lightdm 1:1.30.0-2
lightdm-gtk-greeter 1:2.0.7-1
lightdm-gtk-greeter-settings 1.2.2-4
lightdm-settings 1.3.3-1
lightdm-slick-greeter 1.3.2-1
lightdm-webkit-theme-aether 2.2.2-1
lightdm-webkit-theme-osmos 1.0.7-1
lightdm-webkit2-greeter 2.2.5-2
lilv 0.24.8-1
linux 5.6.12.arch1-1
linux-api-headers 5.6.11-1
linux-firmware 20200421.78c0348-1
linux-steam-integration-git 0.7.3.r5.g6137c52-1
lirc 1:0.10.1-4
live-media 2019.11.06-1
llvm-libs 10.0.0-1
lm_sensors 3.6.0-1
lmdb 0.9.25-1
lpsolve 5.5.2.5-3
lsb-release 1.4-15
lsof 4.93.2-1
lua 5.3.5-3
lua-lgi 0.9.2-2
lua52 5.2.4-5
lua52-bitop 1.0.2-9
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-3
lutris 0.5.6-2
lvm2 2.02.187-2
lxappearance 0.6.3-2
lxdm 0.5.3-6
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
make 4.3-3
mallard-ducktype 1.0.2-3
man-db 2.9.1-2
mariadb-libs 10.4.13-1
mcos-mjv-nordic-theme 2.3~r22.8d250ec-1
md4c 0.4.3-1
mdadm 4.1-2
media-player-info 24-1
mellowplayer 3.6.2-2
mesa 20.0.7-2
mesa-demos 8.4.0-4
meson 0.54.1-1
metis 5.1.0.p8-1
miniterm 1.7.0-2
minizip 1:1.2.11-4
mirrorlist-rankmirrors-hook 1-2
mjpegtools 2.1.0-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-1
mpd 0.21.23-4
mpfr 4.0.2-2
mpg123 1.25.13-1
mpv-git 0.32.0_482_g5ebb498b7a-1
mtdev 1.1.6-1
mtools 4.0.24-1
mujs 1.0.7-1
multibootusb 9.2.0-4
mypaint-brushes1 1.3.1-1
nano 4.9.2-1
nautilus-bluetooth 0.1.4-1
ncmpcpp 0.8.2-12
ncurses 6.2-1
ndctl 68-2
nemo 4.6.0-1
nemo-fileroller 4.6.0-1
nemo-preview 4.6.0-1
neofetch 7.0.0-1
neon 0.31.1-1
nerd-fonts-complete 2.1.0-2
net-tools 1.60.20181103git-2
netpbm 10.73.31-1
nettle 3.6-1
networkmanager 1.24.0-1
networkmanager-openconnect 1.2.6-1
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
ninja 1.10.0-1
nitrogen 1.6.1-3
nm-connection-editor 1.16.0-1
node-gyp 6.1.0-1
nodejs 14.2.0-1
nordic-theme-git r71.3e16c4a-1
noto-fonts 20190926-4
npm 6.14.5-1
npth 1.6-2
nspr 4.25-1
nss 3.52-1
